Manager ID,Manager Name
199,EDELWEISS ASSET MANAGEMENT LIMITED
200,Edelweiss Asset Management Limited
201,EDELWEISS GLOBAL WEALTH MANAGEMENT LIMITED
202,EFG WEALTH MANAGEMENT (INDIA) PRIVATE LIMITED
203,EKLAVYA CAPITAL ADVISORS LLP
204,ELITE WEALTH ADVISORS LIMITED
205,ELIXIR EQUITIES PVT. LTD.
206,ELYSIUM INVESTMENT ADVISORS LLP
207,EMKAY INVESTMENT MANAGERS LIMITED
208,Emkay Investment Managers Limited
209,ENAM ASSET MANAGEMENT CO.PVT.LTD
210,ENAM SECURITIES DIRECT PRIVATE LIMITED
211,Entrust Family Office Investment Advisors Private Limited
212,ENVISION CAPITAL ADVISORS PVT. LTD.
213,ENVISION CAPITAL SERVICES PVT.LTD.
214,Equinomics Research & Advisory Private Limited
215,EQUIRUS SECURITIES PRIVATE LIMITED
216,Equirus Securities Private Limited
217,Equitree Capital Advisors Private Limited
218,EQUITY INTELLIGENCE INDIA PVT. LTD.
219,ESCORP ASSET MANAGEMENT LIMITED
220,Escorts Financial Services Ltd.
221,ESCORTS SECURITIES LIMITED
222,Essel Finance Portfolio Managers Private Limited
223,ESTEE ADVISORS PVT LTD.
224,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD
225,Eureka Portfolio Management Services Pvt. Ltd.
226,Exclusive Securities Limited
227,FAIRWEALTH SECURITIES (P) LTD.
228,FALCON BROKERAGE PRIVATE LTD
229,FCH Centrum Wealth Managers Limited
230,FE SECURITIES PVT. LTD.
231,Ficus Mercantile Limited
232,FINQUEST SECURITIES P LTD
233,First Global Finance Pvt Ltd
234,FIRST GLOBAL STOCKBROKING (P) LTD.
235,FIRST GLOBAL STOCKBROKING PVT LTD
236,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED
237,FLORINTREE ADVISORS PRIVATE LIMITED
238,Focus Shares & Securities Pvt. Ltd.
239,Forefront Capital Management Private Limited
240,Fort Capital Investment Advisory Private Limited
241,FORTIS INVESTMENT MANAGEMENT (INDIA) PRIVATE LIMITED
242,FORTUNE FINANCIAL SERVICES (INDIA) LIMITED
243,Fortune Wealth Management Co (I) Pvt Ltd
244,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED
245,FRONTLINE CAPITAL SERVICES LIMITED
246,FRR Shares And Securities Ltd.
247,FUTURE CAPITAL HOLDINGS LIMITED
248,G.M.MERCHANT BANKING AND FINANCIAL SERVI
249,GEOJIT FINANCIAL SERVICES LIMITED
250,GEOJIT FINANCIAL SERVICES LIMITED
251,GEOJIT FINANCIAL SERVICES LTD
252,GEPL CAPITAL PRIVATE LIMITED
253,GHALLA BHANSALI STOCK BROKERS PRIVATE LIMITED
254,GILTEDGE PORTFOLIO MANAGEMENT SERVICES L
255,GIRIK WEALTH ADVISORS PRIVATE LIMITED
256,GLOBALWORTH SECURITIES LIMITED
257,GLOBE CAPITAL MARKET LTD.
258,GLOVISTA ENTERPRISE PVT. LTD.
259,GOCAPITAL FINANCE LIMITED
260,GOGIA INTERNATIONAL SECURITIES LTD.
261,Goldcrest  Finance (India) Ltd
262,Goldman Sachs Asset Management (India) Private Ltd
263,GOLDMINE STOCKS PVT. LTD.
264,Green Lantern Capital LLP
265,GREEN PORTFOLIO PRIVATE LIMITED
266,GROVALUE FINANCIAL SERVICES PRIVATE LIMITED
267,Gryffon Investment Advisors Pvt. Ltd.
268,GUARDIAN ADVISORS PVT LTD
269,GUARDIAN ADVISORS PVT LTD
270,Guardian Asset Management Private Limited
271,GUINESS PORTFOLIO MANAGEMENT SERVICES PRIVATE LIMITED
272,GUINESS PORTFOLIO MANAGEMENT SERVICES PVT. LTD.
273,Hanut Alternate Investments LLP
274,HARITA INVTS PVT.LTD
275,HARMONEY WEALTH ADVISORY SERVICES INDIA PVT LTD
276,Harvest Financials Limited
277,HB Portfolio Limited
278,HDFC ASSET MANAGEMENT COMPANY LTD
279,HDFC BANK LTD
280,HDFC BANK LTD.
281,HDFC SECURITIES LIMITED
282,HEDGE EQUITIES LTD
283,Helios Capital Management India LLP  
284,Hem Securities Limited
285,HERCULES CAPITAL ADVISORS P. LTD.
286,Hoffland Finance Ltd
287,Hornic Investments Private Limited
288,HOUSING DEVELOPMENT FINANCE CORPN.LTD.
289,HSBC ASSET MANAGEMENT (INDIA) PVT. LTD.
290,HSBC INVESTDIRECT SECURITIES (INDIA) LIMITED
291,HUNTER WEALTH MANAGEMENT LLP
292,ICAN INVESTMENTS  ADVISORS LIMITED
293,ICDS Ltd.
294,ICICI BANK LTD.
295,ICICI INVESTMENT MANAGEMENT COMPANY LIMI
296,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD.
297,ICICI SECURITIES LIMITED
298,ICICI SECURITIES PRIMARY DEALERSHIP LTD (FORMERLY ICICI SECURITIES LTD)
299,ICICI WEB TRADE LIMITED
300,IDBI CAPITAL MARKET SERVICES LTD
301,IDFC ASSET MANAGEMENT COMPANY LIMITED
302,IDFC ASSET MANAGEMENT COMPANY LIMITED
303,IFB SECURITIES LTD
304,IFCI Financial Services Limited
305,IIFL WEALTH ADVISORS INDIA LIMITED
306,IIFL WEALTH MANAGEMENT LIMITED
307,IIFL WEALTH PORTFOLIO MANAGERS LIMITED
308,IL&FS  PORTFOLIO MANAGEMENT SERVICES LIMITED.
309,IL&FS INVESTMENT MANAGERS LIMITED
310,IL&FS INVESTSMART LTD
311,Imperial Corporate Fin. & Serv. Pvt. Ltd
312,IMPETUS WEALTH MANAGMENT PVT LTD
313,Indbank Merchant Banking Services Ltd
314,Indgrowth Capital Advisors LLP
315,INDIA CAPITAL MARKETS PVT. LTD.
316,INDIA CAPITAL MARKETS PVT. LTD.
317,INDIA INFOLINE ASSET MANAGEMENT COMPANY LIMITED
318,INDIA INFOLINE LTD
319,INDIA INFOLINE SECURITIES PVT LTD
320,INDIA LIFE ASSET MANAGEMENT CO LTD
321,India Securities Ltd
322,INDIABULLS ASSET MANAGEMENT CO. LTD.
323,Indiabulls Securities Ltd.
324,IndiaNivesh Investment Managers Private Limited
325,Indira Securities Private Limited
326,INDSEC SECURITIES AND FINANCE LTD.
327,IndusInd Bank Ltd.
328,INFINITE FINANCIAL SER.P.LTD.
329,INFINITY ALTERNATIVES INVESTMENT MANAGERS PRIVATE LIMITED
330,INFRASTRUCTURE DEVELOPMENT FINANCE CO. L
331,INFRASTRUCTURE DEVELOPMENT FINANCE COMPA
332,INFRASTRUCTURE FINANCE COMPANY GUJARAT L
333,ING BANK N.V.
334,ING INVESTMENT MANAGEMENT (INDIA) PVT LT
335,ING VYSYA BANK LIMITED
336,INSIGHT ASSET MGT.I.PVT.LTD.
337,Integrated Finance Company Ltd.
338,INTERFACE FINANCIAL SERVICES LTD
339,Inventure Growth & Securities Limited
340,INVESCO ASSET MANAGEMENT (INDIA) PRIVATE LIMITED
341,Ispat Finance Ltd.
342,ITC AGRO-TECH FINANCE AND INVESTMENTS
343,ithought Financial consulting LLP
344,ITI Alternate Funds Management Limited
345,Itus Capital Advisors Pvt Ltd
346,J.J. BHABHERA SHARE BROKERS PVT. LTD.
347,J.M.SHARE & STOCK BROKERS LTD
