,Weight,Open_x,Open_y,Returns,Buy Date,Sell Date
1141,0.05,600.0,554.0,-0.003833333333333334,821,910
613,0.05,554.9,600.0,0.004063795278428548,821,910
18,0.05,91.3,81.0,-0.005640744797371302,912,1001
40,0.05,1013.9,975.5,-0.0018936778775027114,912,1001
83,0.05,667.9,680.0,0.0009058242251834126,912,1001
147,0.05,545.0,483.11,-0.005677981651376146,912,1001
389,0.05,583.85,549.5,-0.002941680226085469,912,1001
389,0.05,583.85,549.5,-0.002941680226085469,912,1001
584,0.05,163.33333333333334,173.3111111111111,0.0030544217687074778,912,1001
680,0.05,453.7,399.0,-0.006028212475203878,912,1001
762,0.05,925.0,812.5,-0.006081081081081081,912,1001
915,0.05,226.45,199.75,-0.005895341134908367,912,1001
1008,0.05,78.65,72.2,-0.004100445009535921,912,1001
1100,0.05,15190.0,13499.0,-0.005566161948650429,912,1001
1223,0.05,470.0,393.9,-0.008095744680851067,912,1001
1251,0.05,650.25,699.0,0.003748558246828143,912,1001
1444,0.05,1116.6,1242.3,0.005628694250403012,912,1001
1604,0.05,359.2,312.46666666666664,-0.006505196733481814,912,1001
1654,0.05,316.7,251.4,-0.01030944111146195,912,1001
2552,0.05,194.94,250.0,0.014122294039191546,912,1001
3068,0.05,1380.0,1447.0,0.002427536231884058,912,1001
3699,0.05,19742.0,17914.85,-0.00462757066153379,912,1001
18,0.05,80.0,84.0,0.0025,1003,1092
63,0.05,1030.0,862.0,-0.008155339805825243,1003,1092
83,0.05,686.0,697.0,0.0008017492711370263,1003,1092
109,0.05,91.45,88.3,-0.0017222525970475703,1003,1092
144,0.05,1736.0,1928.85,0.005554435483870966,1003,1092
296,0.05,1095.0,1030.0,-0.0029680365296803654,1003,1092
342,0.05,1127.0,1166.65,0.00175909494232476,1003,1092
352,0.05,4088.0,3015.0,-0.013123776908023485,1003,1092
389,0.05,579.4,494.5,-0.007326544701415256,1003,1092
481,0.05,1015.2,927.5,-0.004319345941686369,1003,1092
481,0.05,1015.2,927.5,-0.004319345941686369,1003,1092
584,0.05,171.13333333333333,188.0,0.004927931437475655,1003,1092
613,0.05,752.85,708.75,-0.002928870292887031,1003,1092
762,0.05,799.775,764.95,-0.002177174830421052,1003,1092
1008,0.05,73.8,77.9,0.0027777777777777835,1003,1092
1204,0.05,560.1,677.0,0.010435636493483304,1003,1092
1302,0.05,4115.85,4415.0,0.0036341217488489574,1003,1092
1557,0.05,1417.0,1457.0,0.0014114326040931546,1003,1092
2552,0.05,238.0,378.0,0.029411764705882353,1003,1092
3068,0.05,1499.5,1456.0,-0.0014504834944981662,1003,1092
2552,0.05,379.33000000000004,356.0,-0.0030751588326786753,1094,1183
820,0.05,101.8562874251497,86.40718562874252,-0.007583774250440913,1094,1183
1204,0.05,677.9,602.55,-0.005557604366425729,1094,1183
1008,0.05,78.2,76.95,-0.00079923273657289,1094,1183
1615,0.05,88.5,96.9,0.00474576271186441,1094,1183
1130,0.05,124.6,125.45,0.00034109149277688946,1094,1183
1044,0.05,578.0,507.6,-0.006089965397923874,1094,1183
2732,0.05,498.925,466.0,-0.003299594127373855,1094,1183
2669,0.05,90.1,69.7,-0.011320754716981128,1094,1183
1227,0.05,88.05,52.0,-0.020471323111868257,1094,1183
1248,0.05,511.5,535.0,0.002297165200391007,1094,1183
1577,0.05,293.9,311.0,0.002909152773052063,1094,1183
389,0.05,489.0,465.1,-0.002443762781186092,1094,1183
1470,0.05,415.0,371.0,-0.005301204819277109,1094,1183
998,0.05,569.0,426.0,-0.012565905096660808,1094,1183
735,0.05,91.0,62.9,-0.015439560439560442,1094,1183
481,0.05,936.0,830.0,-0.005662393162393163,1094,1183
1240,0.05,434.7,376.0,-0.00675178283873936,1094,1183
1302,0.05,4414.0,4187.0,-0.0025713638423198915,1094,1183
1557,0.05,1478.9,1399.0,-0.0027013320711339536,1094,1183
1008,0.05,73.25,69.5,-0.002559726962457338,1185,1274
1615,0.05,96.95,94.5,-0.0012635379061371856,1185,1274
2086,0.05,125.0,138.79000000000002,0.005516000000000009,1185,1274
2669,0.05,70.45,62.15,-0.005890702625975873,1185,1274
1227,0.05,50.2,47.6,-0.00258964143426295,1185,1274
1516,0.05,309.45,309.75,4.847309743092767e-05,1185,1274
389,0.05,458.05,541.5,0.009109267547211001,1185,1274
147,0.05,667.29,753.15,0.006433484691813157,1185,1274
1248,0.05,527.15,503.0,-0.0022906193683012404,1185,1274
915,0.05,244.0,256.55,0.002571721311475412,1185,1274
1130,0.05,121.2,146.0,0.01023102310231023,1185,1274
735,0.05,57.35,62.35,0.004359197907585004,1185,1274
481,0.05,780.0,774.0,-0.00038461538461538467,1185,1274
1557,0.05,1340.1,1322.0,-0.0006753227371091677,1185,1274
310,0.05,73.9,92.7,0.012719891745602164,1185,1274
257,0.05,212.42,244.0,0.007433386686752664,1185,1274
183,0.05,516.95,685.0,0.016253989747557786,1185,1274
3699,0.05,18799.85,18662.2,-0.0003660933464894609,1185,1274
567,0.05,2869.95,3023.0,0.0026664227599784004,1185,1274
1577,0.05,317.3,294.95,-0.00352190356129846,1185,1274
197,0.05,125.0,160.0,0.014,1276,1365
983,0.05,281.15,372.25,0.01620131602347502,1276,1365
577,0.05,119.0,154.0,0.014705882352941176,1276,1365
1124,0.05,1385.0,1895.15,0.018416967509025276,1276,1365
3368,0.05,215.0,244.39000000000001,0.0068348837209302364,1276,1365
254,0.05,108.0,98.0,-0.004629629629629629,1276,1365
878,0.05,310.95,351.8,0.006568580157581609,1276,1365
